taxa,Head,Rump
LR100,NA,17.33
LR102,29,22.67
LR103,25.56,33.67
LR104,16.11,22.11
LR105,NA,21.33
LR107,43.33,20.89
LR108,20.89,23.11
LR111,15.11,19.66
LR112,48.11,30.78
LR114,14.78,15
LR115,22.67,37.11
LR116,20.67,32.11
LR118,30,33.44
LR119,22.89,9.78
LR121,36.33,54.66
LR122,21.67,25.55
LR123,NA,37.33
LR124,18.78,31.78
LR126,19.33,25.89
LR128,5.45,22.44
LR132,21.89,22.67
LR134,11,68.33
LR136,31.78,21.55
LR137,NA,36.66
LR138,41,44.89
LR140,22.22,27.34
LR141,10.33,29.78
LR142,32.45,19.11
LR144,16.33,26.33
LR146,33.67,40.78
LR147,14.89,26
LR148,28.55,30.56
LR149,14.56,19.56
LR151,3.22,27.34
LR152,31.44,30.67
LR155,NA,38.11
LR157,NA,42.89
LR158,34.34,26.67
LR159,20.44,22.33
LR160,NA,34.34
LR161,25.67,24.11
LR162,45.11,15.22
LR163,28.78,32.78
LR164,17.78,25.44
LR165,NA,21.45
LR167,19.34,41.33
LR168,13.78,41
LR169,16.44,34.11
LR170,25.56,38.11
LR171,10.44,38.78
LR172,39,38
LR173,41.11,30.89
LR174,43.11,50.89
LR178,21.33,22.89
LR179,17.55,56.78
LR181,27,51.11
LR184,27.67,46.55
LR186,20.44,20.33
LR187,44.67,20.78
LR188,22,27.33
LR189,13.22,17.22
LR190,15.89,60.11
LR191,20.44,24.56
LR192,12.33,36.11
LR193,13.33,47.44
LR194,29.89,28.33
LR196,54.78,17
LR197,12.89,41.89
LR198,NA,15.78
LR199,18.22,29.33
LR200,45.78,9.78
LR202,32.34,19.67
LR203,24.78,22.11
LR204,NA,25
LR205,24.78,25.67
LR206,12,NA
LR207,28.89,24.22
LR210,8.78,21.44
LR212,NA,22.34
LR213,NA,16.67
LR214,30.56,9.67
LR215,28.78,40.67
LR216,16.44,22.56
LR217,38.22,35.56
LR219,27,28.78
LR221,16.67,17.78
LR222,26.66,19.67
LR223,13.56,7.66
LR224,NA,16.67
LR228,34.78,23.44
LR229,15.33,NA
LR230,13.89,19.33
LR232,24.22,26.67
LR234,25.44,18.89
LR236,31,18.67
LR237,NA,15.22
LR238,20.55,24.89
LR239,NA,24.45
LR240,17.34,19.11
LR241,29.22,13
LR242,24.44,17.56
LR243,48.11,29.55
LR244,12.67,22.78
LR245,NA,14.67
LR247,19,29.33
LR248,5.22,17.45
LR250,17.11,22
LR252,26.33,28.78
LR253,27.22,12.22
LR254,25.22,31.56
LR255,25.11,18.22
LR257,27.89,19.45
LR258,22.67,23.11
LR259,12.55,16
LR260,18.67,10.44
LR261,NA,9.11
LR262,NA,21.33
LR264,18.55,20
LR266,24.34,NA
LR267,19.33,36.55
LR269,NA,19.56
LR270,13.56,7.56
LR271,41.55,35.33
LR272,30,30.89
LR273,37.89,20.11
LR274,26.33,16.22
LR275,10.67,18
LR276,13.55,34
LR277,16.33,21.78
LR280,NA,22.45
LR281,22.78,18.89
Q2,36.33,49.78
Q3,46.78,51.11
Q4,32,60.22
Q5,55.78,35.34
Q6,30.56,34.22
Q8,62,55.33
Q9,18.33,14
Q11,39.11,39.22
Q12,25.11,12.78
Q14,18.45,21.55
Q15,22.11,34.56
Q16,51.67,37.11
Q17,NA,73.78
Q19,48.78,17.67
Q20,33.11,13.89
Q21,26.78,12.11
Q23,20.33,20.78
Q25,22,30.67
Q26,51.11,54
Q27,10.11,39.89
Q28,8.33,25.55
Q29,7.56,31.33
Q30,28.45,39.89
Q32,14.67,22.22
Q33,11.67,34.78
Q35,6.56,22.78
Q37,4,17.66
Q38,NA,18.44
Q39,4.33,46.78
Q41,5.33,22.78
Q42,27.11,30.45
Q44,46.55,52
Q45,59.89,18.89
Q46,163.78,114.56
Q47,8.22,11.44
Q48,7,21.89
Q49,7,30.33
Q50,11.89,23.56
Q51,4.44,23.33
Q52,4.89,24.78
Q53,9.89,32.34
Q54,12.78,11
Q55,NA,24.33
Q56,12.44,29.11
Q57,6.33,17.44
Q58,13.56,17.78
Q59,6.11,19
Q60,26,23.33
Q62,2,19.33
Q63,36.78,14.44
Q65,40.56,19.44
Q66,49.11,26
Q68,85.22,37.11
Q69,20.78,16.67
Q71,28.67,26.22
Q72,12,18
Q73,8,13
Q75,53.22,34.33
Q76,52,13.67
Q78,83.33,33.11
Q80,9.11,26.78
Q81,3.33,13.22
Q82,NA,23
Q83,2.11,9.67
Q85,5.56,16.45
Q86,NA,17.66
Q87,60.22,25
Q88,NA,17.11
Q89,1.44,11
Q90,17.67,24.45
Q92,23.55,22.33
Q93,16.33,13.11
Q95,5.33,14.89
Q96,42,20.89
Q97,69,19
Q98,46.56,15
Q100,18.11,22
Q101,35.33,17
Q102,15.66,17.11
Q103,47.22,28.89
Q104,34,19.44
Q105,57.89,17.56
Q106,18.67,15.67
Q107,16.22,14.44
Q108,18.56,10.11
Q109,186.89,54.33
Q110,26.55,12.33
Q111,44.22,14.56
Q112,24.45,13.33
Q113,27,22.33
Q114,13.33,17.55
Q115,NA,34.22
Q117,31.56,34.89
Q118,25.34,18.11
Q119,15.55,23.22
Q120,32.89,14.22
Q121,6,11.45
Q122,25.56,23.67
Q123,25.44,30.89
Q124,33.44,13.22
Q125,NA,14.56
Q126,17.11,24.34
Q127,NA,14.78
Q128,16,23.22
Q129,30.78,22.22
Q130,8.11,14.45
Q131,8,50.11
Q132,29.56,33
Q133,27.11,24.11
Q134,16,21.78
Q135,33.11,40.33
Q136,27.56,16.44
Q137,NA,17.33
Q138,44,17.67
Q139,17.67,29.11
Q140,NA,22.56
Q141,NA,29.78
Q142,16.11,29.33
Q151,209.89,127.44
Q152,197.33,31.56
Q153,221.56,15
Q154,12.33,29.22
Q155,46.78,78.33
Q156,NA,66.33
Q157,NA,66.89
Q158,3.33,37.33
Q159,211.78,26
Q160,5.44,24.45
Q161,40.22,33.11
Q162,190.55,70.44
Q163,6.22,27.22
